Date,KB/s,fronted megabytes/s
7/2/14,1,0.000976563
7/9/14,144,0.140625
7/16/14,522,0.509765625
7/23/14,652,0.63671875
7/30/14,829,0.809570313
8/6/14,951,0.928710938
8/13/14,2509,2.450195313
8/20/14,3070,2.998046875
8/27/14,3519,3.436523438
9/3/14,1781,1.739257813
9/10/14,4483,4.377929688
9/17/14,3401,3.321289063
9/24/14,3434,3.353515625
10/1/14,3063,2.991210938
10/8/14,1558,1.521484375
10/15/14,1228,1.19921875
10/22/14,298,0.291015625
10/29/14,1761,1.719726563
11/5/14,1021,0.997070313
11/12/14,1076,1.05078125
11/19/14,948,0.92578125
11/26/14,898,0.876953125
12/3/14,5621,5.489257813
12/10/14,27192,26.5546875
12/17/14,39445,38.52050781
12/24/14,54251,52.97949219
12/31/14,62599,61.13183594
1/7/15,29038,28.35742188
1/14/15,69507,67.87792969
1/21/15,92331,90.16699219
1/28/15,90951,88.81933594
