Relay Protocol,Day of timestamp,Number of Records
FRONTED-MEEK-OSSH,"June 1, 2014",168
FRONTED-MEEK-OSSH,"June 2, 2014",154
FRONTED-MEEK-OSSH,"June 3, 2014",168
FRONTED-MEEK-OSSH,"June 4, 2014",271
FRONTED-MEEK-OSSH,"June 5, 2014",8427
FRONTED-MEEK-OSSH,"June 6, 2014",29103
FRONTED-MEEK-OSSH,"June 7, 2014",33562
FRONTED-MEEK-OSSH,"June 8, 2014",59966
FRONTED-MEEK-OSSH,"June 9, 2014",61849
FRONTED-MEEK-OSSH,"June 10, 2014",74083
FRONTED-MEEK-OSSH,"June 11, 2014",83034
FRONTED-MEEK-OSSH,"June 12, 2014",85242
FRONTED-MEEK-OSSH,"June 13, 2014",64660
FRONTED-MEEK-OSSH,"June 14, 2014",53016
FRONTED-MEEK-OSSH,"June 15, 2014",101620
FRONTED-MEEK-OSSH,"June 16, 2014",93092
FRONTED-MEEK-OSSH,"June 17, 2014",107586
FRONTED-MEEK-OSSH,"June 18, 2014",164617
FRONTED-MEEK-OSSH,"June 19, 2014",175830
FRONTED-MEEK-OSSH,"June 20, 2014",146966
FRONTED-MEEK-OSSH,"June 21, 2014",156095
FRONTED-MEEK-OSSH,"June 22, 2014",169368
FRONTED-MEEK-OSSH,"June 23, 2014",188613
FRONTED-MEEK-OSSH,"June 24, 2014",187934
FRONTED-MEEK-OSSH,"June 25, 2014",200049
FRONTED-MEEK-OSSH,"June 26, 2014",196307
FRONTED-MEEK-OSSH,"June 27, 2014",162687
FRONTED-MEEK-OSSH,"June 28, 2014",151214
FRONTED-MEEK-OSSH,"June 29, 2014",165234
FRONTED-MEEK-OSSH,"June 30, 2014",136343
FRONTED-MEEK-OSSH,"July 1, 2014",119826
FRONTED-MEEK-OSSH,"July 2, 2014",153333
FRONTED-MEEK-OSSH,"July 3, 2014",128593
FRONTED-MEEK-OSSH,"July 4, 2014",103297
FRONTED-MEEK-OSSH,"July 5, 2014",89964
FRONTED-MEEK-OSSH,"July 6, 2014",129096
FRONTED-MEEK-OSSH,"July 7, 2014",137825
FRONTED-MEEK-OSSH,"July 8, 2014",144892
FRONTED-MEEK-OSSH,"July 9, 2014",139197
