Daily uniques using Fronting, all countries:

Day of timestamp,Number of Records
"June 1, 2014",168
"June 2, 2014",154
"June 3, 2014",168
"June 4, 2014",271
"June 5, 2014",8427
"June 6, 2014",29103
"June 7, 2014",33562
"June 8, 2014",59966
"June 9, 2014",61849
"June 10, 2014",74083
"June 11, 2014",83034
"June 12, 2014",85242
"June 13, 2014",64660
"June 14, 2014",53016
"June 15, 2014",101620
"June 16, 2014",93092
"June 17, 2014",107586
"June 18, 2014",164617
"June 19, 2014",175830
"June 20, 2014",146966
"June 21, 2014",156095
"June 22, 2014",169368
"June 23, 2014",188613
"June 24, 2014",187934
"June 25, 2014",200049
"June 26, 2014",196307
"June 27, 2014",162687
"June 28, 2014",151214
"June 29, 2014",165234
"June 30, 2014",136343
"July 1, 2014",119826
"July 2, 2014",153333
"July 3, 2014",128593
"July 4, 2014",103297
"July 5, 2014",89964
"July 6, 2014",129096
"July 7, 2014",137825
"July 8, 2014",144892
"July 9, 2014",139197
"July 10, 2014",126507
"July 11, 2014",119876
"July 12, 2014",115220
"July 13, 2014",132854
"July 14, 2014",125224
"July 15, 2014",142239
"July 16, 2014",122423
"July 17, 2014",124606
"July 18, 2014",121892
"July 19, 2014",125021
"July 20, 2014",123082
"July 21, 2014",128338
"July 22, 2014",126369
"July 23, 2014",131251
"July 24, 2014",133052
